,cuisine,c,restaurant_address,address
1749,54, Seafood,60,"St. Marks Road, Bangalore"
1754,76,Biryani,13,"Cunningham Road, Bangalore"
1755,43, Mughlai,13,"Cunningham Road, Bangalore"
1756,32, Kebab,13,"Cunningham Road, Bangalore"
1758,36, Lucknowi,13,"Cunningham Road, Bangalore"
1762,71,Awadhi,20,"Indiranagar, Bangalore"
1765,32, Kebab,20,"Indiranagar, Bangalore"
1767,101,North Indian,26,"Kalyan Nagar, Bangalore"
1768,15, Chinese,26,"Kalyan Nagar, Bangalore"
1769,2, Andhra,26,"Kalyan Nagar, Bangalore"
1770,9, Biryani,26,"Kalyan Nagar, Bangalore"
1771,54, Seafood,26,"Kalyan Nagar, Bangalore"
1772,20, Fast Food,26,"Kalyan Nagar, Bangalore"
1773,58, South Indian,26,"Kalyan Nagar, Bangalore"
1774,75,Beverages,3,"Banashankari, Bangalore"
1776,18, Desserts,3,"Banashankari, Bangalore"
1778,30, Juices,3,"Banashankari, Bangalore"
1787,101,North Indian,39,"Majestic, Bangalore"
1790,79,Chettinad,67,"Yeshwantpur, Bangalore"
1791,33, Kerala,67,"Yeshwantpur, Bangalore"
1792,54, Seafood,67,"Yeshwantpur, Bangalore"
1795,45, Oriental,4,"Banaswadi, Bangalore"
1799,55, Shake,4,"Banaswadi, Bangalore"
1803,106,Rolls,7,"Basaveshwara Nagar, Bangalore"
1807,10, Bubble Tea,20,"Indiranagar, Bangalore"
1808,49, Pizza,20,"Indiranagar, Bangalore"
1809,11, Burger,20,"Indiranagar, Bangalore"
1812,68,Andhra,24,"Jayanagar, Bangalore"
1813,9, Biryani,24,"Jayanagar, Bangalore"
1816,111,South Indian,35,"Kumaraswamy Layout, Bangalore"
1817,9, Biryani,35,"Kumaraswamy Layout, Bangalore"
1818,43, Mughlai,35,"Kumaraswamy Layout, Bangalore"
1819,78,Cafe,3,"Banashankari, Bangalore"
1820,28, Italian,3,"Banashankari, Bangalore"
1821,17, Continental,3,"Banashankari, Bangalore"
1822,49, Pizza,3,"Banashankari, Bangalore"
1825,101,North Indian,29,"Koramangala 2nd Block, Bangalore"
1826,15, Chinese,29,"Koramangala 2nd Block, Bangalore"
1827,20, Fast Food,29,"Koramangala 2nd Block, Bangalore"
1832,73,Bakery,65,"Vijay Nagar, Bangalore"
1836,101,North Indian,31,"Koramangala 5th Block, Bangalore"
1843,31, Kashmiri,16,"Frazer Town, Bangalore"
1846,97,Momos,14,"Domlur, Bangalore"
1847,15, Chinese,14,"Domlur, Bangalore"
1848,63, Tibetan,14,"Domlur, Bangalore"
1849,82,Desserts,38,"MG Road, Bangalore"
1850,13, Cafe,38,"MG Road, Bangalore"
1852,53, Sandwich,38,"MG Road, Bangalore"
1853,11, Burger,38,"MG Road, Bangalore"
1855,55, Shake,38,"MG Road, Bangalore"
1856,106,Rolls,19,"Hosur Road, Bangalore"
1857,44, North Indian,19,"Hosur Road, Bangalore"
1859,20, Fast Food,19,"Hosur Road, Bangalore"
1863,80,Chinese,51,"Residency Road, Bangalore"
1865,17, Continental,51,"Residency Road, Bangalore"
1866,21, Finger Food,51,"Residency Road, Bangalore"
1872,51, Rolls,65,"Vijay Nagar, Bangalore"
1877,75,Beverages,48,"RT Nagar, Bangalore"
1878,30, Juices,48,"RT Nagar, Bangalore"
1881,101,North Indian,22,"JP Nagar, Bangalore"
1882,51, Rolls,22,"JP Nagar, Bangalore"
1884,9, Biryani,6,"Basavanagudi, Bangalore"
1885,96,Mithai,55,"Sanjay Nagar, Bangalore"
1886,59, Street Food,55,"Sanjay Nagar, Bangalore"
1887,112,Street Food,2,"BTM, Bangalore"
1893,65, Waffle,20,"Indiranagar, Bangalore"
1894,73,Bakery,7,"Basaveshwara Nagar, Bangalore"
1898,78,Cafe,21,"Infantry Road, Bangalore"
1899,8, Beverages,21,"Infantry Road, Bangalore"
1900,17, Continental,21,"Infantry Road, Bangalore"
1901,28, Italian,21,"Infantry Road, Bangalore"
1902,15, Chinese,21,"Infantry Road, Bangalore"
1903,20, Fast Food,21,"Infantry Road, Bangalore"
1904,4, Asian,21,"Infantry Road, Bangalore"
1905,18, Desserts,21,"Infantry Road, Bangalore"
1909,90,Kerala,25,"Jeevan Bhima Nagar, Bangalore"
