,Restaurant_id,name,urls,ratings,price for one,cuisine,delivery_reviews_Count,restaurant_address,Latitude,Longtitude
97,R22,A2B - Adyar Ananda Bhavan,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order,4.2,200,South Indian,801,"Shanti Nagar, Bangalore",12.9544136,77.5930683
98,R22,A2B - Adyar Ananda Bhavan,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order,4.2,200, Street Food,801,"Shanti Nagar, Bangalore",12.9544136,77.5930683
99,R22,A2B - Adyar Ananda Bhavan,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order,4.2,200, North Indian,801,"Shanti Nagar, Bangalore",12.9544136,77.5930683
100,R22,A2B - Adyar Ananda Bhavan,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order,4.2,200, Chinese,801,"Shanti Nagar, Bangalore",12.9544136,77.5930683
101,R22,A2B - Adyar Ananda Bhavan,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order,4.2,200, Fast Food,801,"Shanti Nagar, Bangalore",12.9544136,77.5930683
102,R22,A2B - Adyar Ananda Bhavan,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order,4.2,200, Beverages,801,"Shanti Nagar, Bangalore",12.9544136,77.5930683
103,R22,A2B - Adyar Ananda Bhavan,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order,4.2,200, Desserts,801,"Shanti Nagar, Bangalore",12.9544136,77.5930683
104,R23,Corner House Ice Creams,https://www.zomato.com/bangalore/corner-house-ice-creams-residency-road-bangalore/order,4.4,200,Ice Cream,6149,"Residency Road, Bangalore",12.97367472,77.60932188
105,R23,Corner House Ice Creams,https://www.zomato.com/bangalore/corner-house-ice-creams-residency-road-bangalore/order,4.4,200, Desserts,6149,"Residency Road, Bangalore",12.97367472,77.60932188
106,R23,Corner House Ice Creams,https://www.zomato.com/bangalore/corner-house-ice-creams-residency-road-bangalore/order,4.4,200, Shake,6149,"Residency Road, Bangalore",12.97367472,77.60932188
107,R24,Nandhana Palace,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,4.1,200,Biryani,8481,"Indiranagar, Bangalore",12.96213054,77.64194693
108,R24,Nandhana Palace,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,4.1,200, Andhra,8481,"Indiranagar, Bangalore",12.96213054,77.64194693
109,R24,Nandhana Palace,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,4.1,200, North Indian,8481,"Indiranagar, Bangalore",12.96213054,77.64194693
110,R24,Nandhana Palace,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,4.1,200, Chinese,8481,"Indiranagar, Bangalore",12.96213054,77.64194693
111,R24,Nandhana Palace,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,4.1,200, Mughlai,8481,"Indiranagar, Bangalore",12.96213054,77.64194693
112,R24,Nandhana Palace,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,4.1,200, South Indian,8481,"Indiranagar, Bangalore",12.96213054,77.64194693
113,R24,Nandhana Palace,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,4.1,200, Desserts,8481,"Indiranagar, Bangalore",12.96213054,77.64194693
114,R24,Nandhana Palace,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,4.1,200, Beverages,8481,"Indiranagar, Bangalore",12.96213054,77.64194693
115,R25,Thalassery Restaurant,https://www.zomato.com/bangalore/thalassery-restaurant-kammanahalli/order,4.0,200,Kerala,9178,"Kammanahalli, Bangalore",13.01504876,77.6315745
116,R25,Thalassery Restaurant,https://www.zomato.com/bangalore/thalassery-restaurant-kammanahalli/order,4.0,200, North Indian,9178,"Kammanahalli, Bangalore",13.01504876,77.6315745
117,R25,Thalassery Restaurant,https://www.zomato.com/bangalore/thalassery-restaurant-kammanahalli/order,4.0,200, Chinese,9178,"Kammanahalli, Bangalore",13.01504876,77.6315745
118,R25,Thalassery Restaurant,https://www.zomato.com/bangalore/thalassery-restaurant-kammanahalli/order,4.0,200, Lebanese,9178,"Kammanahalli, Bangalore",13.01504876,77.6315745
119,R25,Thalassery Restaurant,https://www.zomato.com/bangalore/thalassery-restaurant-kammanahalli/order,4.0,200, Biryani,9178,"Kammanahalli, Bangalore",13.01504876,77.6315745
120,R25,Thalassery Restaurant,https://www.zomato.com/bangalore/thalassery-restaurant-kammanahalli/order,4.0,200, Ice Cream,9178,"Kammanahalli, Bangalore",13.01504876,77.6315745
121,R25,Thalassery Restaurant,https://www.zomato.com/bangalore/thalassery-restaurant-kammanahalli/order,4.0,200, Beverages,9178,"Kammanahalli, Bangalore",13.01504876,77.6315745
122,R26,CakeZone,https://www.zomato.com/bangalore/cakezone-koramangala-6th-block-bangalore/order,4.3,200,Bakery,2667,"Koramangala 6th Block, Bangalore",12.940404,77.625173
123,R26,CakeZone,https://www.zomato.com/bangalore/cakezone-koramangala-6th-block-bangalore/order,4.3,200, Ice Cream,2667,"Koramangala 6th Block, Bangalore",12.940404,77.625173
124,R27,Goli Vada Pav No. 1,https://www.zomato.com/bangalore/goli-vada-pav-no-1-jayanagar-bangalore/order,4.2,200,Fast Food,1117,"Jayanagar, Bangalore",12.93933465,77.58401893
125,R27,Goli Vada Pav No. 1,https://www.zomato.com/bangalore/goli-vada-pav-no-1-jayanagar-bangalore/order,4.2,200, Street Food,1117,"Jayanagar, Bangalore",12.93933465,77.58401893
126,R27,Goli Vada Pav No. 1,https://www.zomato.com/bangalore/goli-vada-pav-no-1-jayanagar-bangalore/order,4.2,200, Maharashtrian,1117,"Jayanagar, Bangalore",12.93933465,77.58401893
127,R27,Goli Vada Pav No. 1,https://www.zomato.com/bangalore/goli-vada-pav-no-1-jayanagar-bangalore/order,4.2,200, Rolls,1117,"Jayanagar, Bangalore",12.93933465,77.58401893
128,R27,Goli Vada Pav No. 1,https://www.zomato.com/bangalore/goli-vada-pav-no-1-jayanagar-bangalore/order,4.2,200, Ice Cream,1117,"Jayanagar, Bangalore",12.93933465,77.58401893
129,R28,Kabab Magic,https://www.zomato.com/bangalore/kabab-magic-basavanagudi/order,4.2,200,North Indian,45200,"Basavanagudi, Bangalore",12.94006366,77.57994667
130,R28,Kabab Magic,https://www.zomato.com/bangalore/kabab-magic-basavanagudi/order,4.2,200, Kebab,45200,"Basavanagudi, Bangalore",12.94006366,77.57994667
131,R28,Kabab Magic,https://www.zomato.com/bangalore/kabab-magic-basavanagudi/order,4.2,200, Hyderabadi,45200,"Basavanagudi, Bangalore",12.94006366,77.57994667
132,R28,Kabab Magic,https://www.zomato.com/bangalore/kabab-magic-basavanagudi/order,4.2,200, Mughlai,45200,"Basavanagudi, Bangalore",12.94006366,77.57994667
133,R28,Kabab Magic,https://www.zomato.com/bangalore/kabab-magic-basavanagudi/order,4.2,200, Chinese,45200,"Basavanagudi, Bangalore",12.94006366,77.57994667
134,R28,Kabab Magic,https://www.zomato.com/bangalore/kabab-magic-basavanagudi/order,4.2,200, Rolls,45200,"Basavanagudi, Bangalore",12.94006366,77.57994667
135,R29,Chicking,https://www.zomato.com/bangalore/chicking-1-rajajinagar-bangalore/order,3.8,200,Fast Food,932,"Rajajinagar, Bangalore",12.9809325,77.5629622
136,R29,Chicking,https://www.zomato.com/bangalore/chicking-1-rajajinagar-bangalore/order,3.8,200, Burger,932,"Rajajinagar, Bangalore",12.9809325,77.5629622
137,R29,Chicking,https://www.zomato.com/bangalore/chicking-1-rajajinagar-bangalore/order,3.8,200, Pizza,932,"Rajajinagar, Bangalore",12.9809325,77.5629622
138,R30,FreshMenu,https://www.zomato.com/bangalore/freshmenu-richmond-road/order,3.9,200,Continental,19200,"Richmond Road, Bangalore",12.964423,77.60589
139,R30,FreshMenu,https://www.zomato.com/bangalore/freshmenu-richmond-road/order,3.9,200, Healthy Food,19200,"Richmond Road, Bangalore",12.964423,77.60589
140,R30,FreshMenu,https://www.zomato.com/bangalore/freshmenu-richmond-road/order,3.9,200, Fast Food,19200,"Richmond Road, Bangalore",12.964423,77.60589
141,R30,FreshMenu,https://www.zomato.com/bangalore/freshmenu-richmond-road/order,3.9,200, Burger,19200,"Richmond Road, Bangalore",12.964423,77.60589
142,R30,FreshMenu,https://www.zomato.com/bangalore/freshmenu-richmond-road/order,3.9,200, Sandwich,19200,"Richmond Road, Bangalore",12.964423,77.60589
143,R30,FreshMenu,https://www.zomato.com/bangalore/freshmenu-richmond-road/order,3.9,200, Chinese,19200,"Richmond Road, Bangalore",12.964423,77.60589
