Restaurant_id,name,urls,ratings,price for one,cuisine
R228,Uttam Sagar,https://www.zomato.com/bangalore/uttam-sagar-banaswadi/order,4,300,"South Indian, North Indian, Street Food, Chinese, Fast Food, Beverages, Desserts"
R229,Toscano,https://www.zomato.com/bangalore/toscano-lavelle-road/order,3.9,300,"Pizza, Pasta, Sandwich, Italian, BBQ, Seafood, Fast Food, Chinese"
R230,Donne Biryani Palace,https://www.zomato.com/bangalore/donne-biryani-palace-1-jayanagar-bangalore/order,4.1,300,"Biryani, South Indian, North Indian, Chinese"
R231,Kailash Parbat,https://www.zomato.com/bangalore/kailash-parbat-sadashiv-nagar-bangalore/order,4.1,300,"North Indian, Chinese, Street Food, Fast Food, Beverages, Desserts"
R232,Dum Biryani Hub,https://www.zomato.com/bangalore/dum-biryani-hub-btm-bangalore/order,3.5,300,"Biryani, North Indian, Chinese, Desserts, Beverages, Sichuan"
R233,Gully Treats,https://www.zomato.com/bangalore/gully-treats-basaveshwara-nagar-bangalore/order,4,300,"Street Food, Fast Food, North Indian, Sandwich, Beverages, Sichuan"
R234,Davanagere Benne Dose,https://www.zomato.com/bangalore/davanagere-benne-dose-jayanagar-bangalore/order,4.1,300,"South Indian, Kerala"
R235,Bhartiya Jalpan,https://www.zomato.com/bangalore/bhartiya-jalpan-indiranagar/order,3.7,300,"North Indian, Street Food, Rajasthani, Bengali, Mithai, Beverages, Desserts"
R236,Kataria's,https://www.zomato.com/bangalore/katarias-btm-bangalore/order,3.5,300,"North Indian, Biryani, Beverages"
R237,LeanCrust Pizza- ThinCrust Experts,https://www.zomato.com/bangalore/leancrust-pizza-thincrust-experts-langford-town-bangalore/order,4,350,"Pizza, Italian, Fast Food, Desserts, Beverages"
R238,Beyond The Crust - BTC,https://www.zomato.com/bangalore/beyond-the-crust-btc-btm-bangalore/order,4,350,"Pizza, Fast Food, Desserts"
R239,Antarastriya,https://www.zomato.com/antarastriya/order,3.6,350,"Pizza, Fast Food, Chinese, Beverages, Shake, Italian, Mexican, Juices"
R240,Upahara Darshini,https://www.zomato.com/bangalore/upahara-darshini-jayanagar/order,4.2,350,"South Indian, North Indian, Fast Food, Street Food, Ice Cream, Beverages, Chinese"
R241,Juicy,https://www.zomato.com/bangalore/juicy-airport-road/order,4,350,"Beverages, Juices, Fast Food, Sandwich, Shake"
R242,Donne Biryani House,https://www.zomato.com/bangalore/donne-biryani-house-vijay-nagar-bangalore/order,3.5,350,"Biryani, North Indian, South Indian, Fast Food"
R243,Ambur Hot Dum Biryani,https://www.zomato.com/bangalore/ambur-hot-dum-biryani-btm/order,3.7,350,Biryani
R244,FB Cakes,https://www.zomato.com/bangalore/fb-cakes-btm-bangalore/order,3.9,350,"Bakery, Desserts"
R245,Kullad Cafe,https://www.zomato.com/bangalore/kullad-cafe-btm/order,3.8,350,"North Indian, Fast Food, Street Food, Shake, Beverages"
R246,Antarastriya,https://www.zomato.com/bangalore/antarastriya-rajajinagar-bangalore/order,3.9,350,"Chinese, Fast Food, Mexican, Italian, Beverages, Juices"
R247,Eshanya Street Food Cafe,https://www.zomato.com/bangalore/eshanya-street-food-cafe-jayanagar-bangalore/order,3.8,350,"North Indian, Mughlai, Chinese, Beverages"
R248,The Thickshake Factory,https://www.zomato.com/bangalore/the-thickshake-factory-koramangala-5th-block-bangalore/order,4.2,350,"Beverages, American"
R249,Paris Panini - Gourmet Sandwiches,https://www.zomato.com/bangalore/paris-panini-gourmet-sandwiches-indiranagar-bangalore/order,4.3,300,"Cafe, Coffee, Beverages, Desserts, French, Continental, Panini"
R250,Wonder Sipp,https://www.zomato.com/bangalore/wonder-sipp-vijay-nagar-bangalore/order,3.3,300,"Fast Food, Sandwich, Burger, Pizza"
R251,Sreeraj Lassi Bar,https://www.zomato.com/bangalore/sreeraj-lassi-bar-shanti-nagar/order,4.3,300,"Shake, Juices, Beverages, Ice Cream, Desserts"
R252,Bucket Biryani,https://www.zomato.com/bangalore/bucket-biryani-brigade-road-bangalore/order,4.1,300,"Biryani, North Indian, Chinese, Mughlai, Kebab"
R253,Tharavadu,https://www.zomato.com/bangalore/tharavadu-koramangala-5th-block-bangalore/order,3.7,300,"Chinese, Biryani, South Indian, Kerala"
R254,The Taj Hotel,https://www.zomato.com/bangalore/the-taj-hotel-1-city-market-bangalore/order,3.7,300,"North Indian, Chinese, Mughlai, Fast Food, Lebanese, Seafood, Rolls"
R255,Bake and Juice,https://www.zomato.com/bangalore/bake-and-juice-hosur-road-bangalore/order,3.8,300,"Arabian, Sandwich, Burger, Biryani, Lebanese, Beverages, Juices, Shake"
R256,Shyamji's Chole Bhature,https://www.zomato.com/bangalore/shyamjis-chole-bhature-koramangala-5th-block-bangalore/order,3.8,300,"Street Food, North Indian"
R257,Kirti Kitchen,https://www.zomato.com/bangalore/kirti-kitchen-btm-bangalore/order,3.7,300,"North Indian, Chinese, Sichuan"
R258,Vidyarthi Bhavan,https://www.zomato.com/bangalore/vidyarthi-bhavan-basavanagudi/order,4.2,300,South Indian
