Index,Restaurant_id,C,Name,Ratings,Price for one,Cuisines,Delivery_reviews_Count,Restaurant_address,Latitude,Longtitude
611,R96, Andhra,Shanmukha,4.1,200,"Biryani, Andhra, North Indian, Chinese, Seafood",56900,"JP Nagar, Bangalore",12.91768863,77.59253528
612,R97, Hyderabadi,Narmada Chain of Restaurants,4.3,200,"Andhra, Hyderabadi, Biryani, North Indian, Chinese, Beverages",467,"Frazer Town, Bangalore",13.0007846,77.61435941
613,R98, Street Food,New Agarwal Bhavan,4.2,200,"Mithai, Street Food",1408,"Sadashiv Nagar, Bangalore",13.00364729,77.57844161
614,R99, North Indian,BOX8 - Desi Meals,4.2,200,"Wraps, North Indian, Fast Food, Biryani, Ice Cream, Desserts, Beverages",769,"Shanti Nagar, Bangalore",12.961168,77.598239
615,R100, Pasta,The Pizza Bakery,4.3,200,"Pizza, Pasta, Italian, Continental, Desserts, Beverages",1198,"Church Street, Bangalore",12.975156,77.604557
616,R101, Beverages,Starbucks Coffee,4.3,200,"Cafe, Beverages, Desserts",395,"Lavelle Road, Bangalore",12.97112173,77.59810556
617,R102, South Indian,Karnataka Biryani Point,4.1,200,"Biryani, South Indian",2938,"Rajajinagar, Bangalore",12.99155566,77.56373104
618,R103, Chinese,Roti Ghar,4.1,200,"North Indian, Chinese, South Indian, Street Food, Fast Food, Desserts, Shake, Beverages",22600,"Basavanagudi, Bangalore",12.9448214,77.5718216
619,R104, Fast Food,Sandwich Guru,4,200,"Sandwich, Fast Food, Beverages, Shake",845,"Basavanagudi, Bangalore",12.9469272,77.56781805
620,R105, North Indian,Laddoos,3.9,100,"Mithai, North Indian, Street Food",4010,"Jeevan Bhima Nagar, Bangalore",12.967889,77.652837
621,R106, Mughlai,M.M.A Kabab and Rolls,3.6,100,"North Indian, Mughlai, Chinese, Kebab, Rolls, Seafood, Arabian, Biryani",5984,"Old Madras Road, Bangalore",12.98223719,77.63395462
622,R107, Fast Food,Chaat Street,4,100,"Street Food, Fast Food, North Indian, Beverages",2679,"Koramangala 4th Block, Bangalore",12.93519976,77.61347093
623,R108, Desserts,The Bake Feast,4.1,100,"Bakery, Desserts",730,"Indiranagar, Bangalore",12.972511,77.648788
624,R111, Hyderabadi,Biryani By Kilo,3.6,100,"Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts",89,"Majestic, Bangalore",12.980989,77.563602
625,R112, Street Food,Shree Mahalakshmi Sweets,4,100,"Mithai, Street Food",821,"Basavanagudi, Bangalore",12.9594255,77.5626082
626,R113, Fast Food,Five Star New Ambur Biryani,3.4,100,"Biryani, Fast Food, South Indian",15700,"BTM, Bangalore",12.91456285,77.60567274
627,R114, Fast Food,Zomoz - The Momo Company,4.2,100,"Momos, Fast Food",991,"Indiranagar, Bangalore",12.978123,77.638278
628,R115, Chinese,Razakhiya Hotel,4,100,"Rolls, Chinese, North Indian, Seafood, Biryani, Sichuan",8140,"HBR Layout, Bangalore",13.0265797,77.62266554
629,R116, Street Food,Priyadarshini Grand,4.3,100,"South Indian, Street Food, Ice Cream, Desserts, Beverages, Shake",29500,"Basaveshwara Nagar, Bangalore",12.9901463,77.53776725
630,R117, South Indian,Donne Biryani House,4,150,"Biryani, South Indian",7879,"Malleshwaram, Bangalore",12.994757,77.571435
631,R118, Street Food,Sangam Sweets,4.3,150,"Mithai, Street Food, Fast Food",469,"Majestic, Bangalore",12.97693795,77.57801246
632,R119, Street Food,New Shanthi Sagar,4.1,150,"North Indian, Street Food, Fast Food, South Indian, Chinese, Ice Cream, Shake",7408,"Rajajinagar, Bangalore",12.98603806,77.55447373
633,R120, North Indian,Hyderabad Biryaani House,3.8,150,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese",28600,"Old Airport Road, Bangalore",12.95947059,77.65609257
634,R121, South Indian,Sai Prasadam,4.1,150,"North Indian, South Indian, Street Food, Chinese",5949,"Vijay Nagar, Bangalore",12.96488815,77.53893569
635,R122, Rolls,Rolls Kitchen,4.1,150,"Fast Food, Rolls, Beverages, Chinese",5275,"Rajajinagar, Bangalore",12.99751155,77.55008362
636,R123, Sandwich,Chetty's Corner,4.1,150,"Fast Food, Sandwich, Pizza, Burger, Street Food, Beverages",2350,"Seshadripuram, Bangalore",12.99252398,77.5783008
637,R124, Kebab,Potful - Claypot Biryanis,4.2,150,"Biryani, Kebab, Mughlai, North Indian, Desserts",2448,"Thippasandra, Bangalore",12.97220056,77.65281457
638,R125, Beverages,Third Wave Coffee,3.4,150,"Cafe, Beverages, Desserts, Coffee, Tea, Pizza, Fast Food",285,"UB City, Bangalore",12.97135175,77.59591989
639,R128, Wraps,Biggies Burger,4.1,150,"Burger, Wraps, Fast Food, Shake, Beverages, Desserts",1605,"Church Street, Bangalore",12.97543605,77.60325205
640,R129, Chinese,Sagar Hotel,4.2,150,"North Indian, Chinese, Street Food, Fast Food, South Indian, Juices, Beverages",10700,"Rajajinagar, Bangalore",12.99672815,77.55417634
641,R130, Asian,Chowman,4,150,"Chinese, Asian, Thai, Oriental, Seafood, Sichuan, Beverages, Desserts",4254,"Indiranagar, Bangalore",12.978673,77.636602
642,R131, North Indian,New Udupi Grand,3.7,150,"South Indian, North Indian, Street Food, Beverages, Chinese, Shake",927,"Koramangala 8th Block, Bangalore",12.94368121,77.60696221
643,R132, South Indian,Biryani Trip - Destination Hyderabad,4.4,150,"Biryani, South Indian, Mughlai, Andhra, Desserts, Hyderabadi",188,"Seshadripuram, Bangalore",12.98681,77.579384
644,R133, Mughlai,Savoury Restaurant,4.1,150,"Arabian, Mughlai, North Indian, Chinese, Fast Food, Beverages, Shake, Desserts",5858,"Frazer Town, Bangalore",12.99958665,77.61595398
645,R134, South Indian,Tâ€™s 21 Spice Biryani,4,150,"Biryani, South Indian",2124,"Indiranagar, Bangalore",12.967422,77.636655
646,R135, Fast Food,Pizza House,4.1,150,"Pizza, Fast Food, Burger",613,"RT Nagar, Bangalore",13.0230769,77.6102089
647,R136, Beverages,Namaste,3.6,150,"South Indian, Beverages",63,"Malleshwaram, Bangalore",12.995828,77.571495
648,R137, Desserts,Just Bake,3.9,150,"Bakery, Desserts, Street Food",145,"Seshadripuram, Bangalore",12.98850726,77.57725105
649,R138, Fast Food,Chef Bakers,3.6,150,"Bakery, Fast Food, Pizza, Sandwich, Burger, Desserts",99,"Koramangala 7th Block, Bangalore",12.93598956,77.61497095
650,R139, South Indian,Meghduth Biryanis,3.6,150,"Biryani, South Indian",2242,"Jayanagar, Bangalore",12.93017206,77.58167937
651,R140, Chinese,Sardarji Londonwaley,3.7,150,"North Indian, Chinese, Mughlai",35800,"Koramangala 7th Block, Bangalore",12.93621961,77.61553992
652,R141, Beverages,IDC Kitchen,4.2,100,"South Indian, Beverages",3063,"Residency Road, Bangalore",12.96593989,77.59453185
653,R142, Biryani,Punjabi Nawabi,3.6,100,"North Indian, Biryani, Mughlai, Chinese, Kebab",27900,"Koramangala 7th Block, Bangalore",12.936308,77.615532
654,R143, Chinese,Kabab King,3.4,100,"North Indian, Chinese, Juices, Shake",6822,"Kumaraswamy Layout, Bangalore",12.9168721,77.5688401
655,R144, Fast Food,Arabian Shawarma,3.9,100,"Shawarma, Fast Food, Beverages",38,"Kammanahalli, Bangalore",13.0156603,77.6396949
656,R145, Asian,Szechuan Dragon,4.1,100,"Chinese, Asian, Thai, Momos",34300,"Banashankari, Bangalore",12.94016332,77.56424233
657,R146, Momos,Momoz,4,100,"Chinese, Momos, Sichuan",2039,"RT Nagar, Bangalore",13.0212899,77.58484874
658,R147, Fast Food,GOPIZZA,4.2,100,"Pizza, Fast Food",120,"Orion East, Banaswadi, Bangalore",13.0009569,77.6325712
659,R149, South Indian,Donne Biryani Mane,4,100,"Biryani, South Indian",895,"Koramangala 4th Block, Bangalore",12.93687673,77.62767591
660,R151, Burger,D - Zaprino,3.8,100,"Pizza, Burger, Wraps, Biryani, Fast Food, Street Food, Desserts, Beverages",1645,"Rajajinagar, Bangalore",13.00196196,77.55835857
661,R152, Chinese,Big Bowl Company,3.7,100,"North Indian, Chinese, Biryani, Momos, Sichuan",1541,"Hosur Road, Bangalore",12.93520923,77.60948238
662,R153, Mughlai,7 Plates,4,200,"North Indian, Mughlai, Rolls, Chinese",5526,"RT Nagar, Bangalore",13.02031492,77.59288902
663,R154, Thai,Delicacy,3.8,200,"Chinese, Thai",8466,"Frazer Town, Bangalore",12.99846318,77.61770613
664,R155, Desserts,Aubree,4.2,200,"Bakery, Desserts, Italian, Thai, Fast Food",315,"Shivajinagar, Bangalore",12.99024855,77.60059901
